date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:51	145529/145529	---MCZ	200	added ('OK')	application/json	date:Fri,%2020%20Dec%202019%2016:21:52%20GMT	https://lana.ws/ar/wp-json/	F:/DAZZLE/dprm/lana.ws/ar/wp-json/index.html	(from https://lana.ws/ar/)
19:21:51	1045/1045	---MCZ	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2003:49:10%20GMT	https://lana.ws/ar/wp-includes/wlwmanifest.xml	F:/DAZZLE/dprm/lana.ws/ar/wp-includes/wlwmanifest.xml	(from https://lana.ws/ar/)
19:21:52	5280/5280	---MCZ	200	added ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:52%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/rtl.css	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/rtl.css	(from https://lana.ws/ar/)
19:21:53	134408/134408	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Sep%202019%2020:37:24%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/slides/slide02rtl.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/slides/slide02rtl.png	(from https://lana.ws/ar/)
19:21:54	325932/325932	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Sep%202019%2020:37:49%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/slides/slide01rtl.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/slides/slide01rtl.png	(from https://lana.ws/ar/)
19:21:54	831/831	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2021%20Sep%202019%2020:35:50%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/box-bg.svg	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/box-bg.svg	(from https://lana.ws/ar/)
19:21:54	277180/277180	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Sep%202019%2020:37:33%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/slides/slide03rtl.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/slides/slide03rtl.png	(from https://lana.ws/ar/)
19:21:55	831/831	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2021%20Sep%202019%2020:36:36%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/boxs/b1.svg	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/boxs/b1.svg	(from https://lana.ws/ar/)
19:21:55	831/831	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2021%20Sep%202019%2020:36:39%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/boxs/b2.svg	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/boxs/b2.svg	(from https://lana.ws/ar/)
19:21:55	831/831	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2021%20Sep%202019%2020:36:41%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/boxs/b3.svg	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/boxs/b3.svg	(from https://lana.ws/ar/)
19:21:56	831/831	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2021%20Sep%202019%2020:36:44%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/boxs/b4.svg	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/boxs/b4.svg	(from https://lana.ws/ar/)
19:21:56	7580/7580	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Mar%202019%2017:07:22%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2019/03/lux.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2019/03/lux.png	(from https://lana.ws/ar/)
19:21:56	10392/10392	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2023:10:40%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2018/05/client1.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2018/05/client1.png	(from https://lana.ws/ar/)
19:21:56	15207/15207	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2023:10:40%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2018/05/client2.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2018/05/client2.png	(from https://lana.ws/ar/)
19:21:56	10697/10697	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2023:10:40%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2018/05/client3.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2018/05/client3.png	(from https://lana.ws/ar/)
19:21:57	13045/13045	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2023:10:41%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2018/05/client4.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2018/05/client4.png	(from https://lana.ws/ar/)
19:21:57	7525/7525	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2023:10:41%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2018/05/client5.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2018/05/client5.png	(from https://lana.ws/ar/)
19:21:57	8042/8042	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2023:10:41%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2018/05/client6.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2018/05/client6.png	(from https://lana.ws/ar/)
19:21:57	8521/8521	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2023:10:41%20GMT	https://lana.ws/ar/wp-content/uploads/sites/2/2018/05/client7.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/uploads/sites/2/2018/05/client7.png	(from https://lana.ws/ar/)
